iteracion,subset,f1_score
392,"['Domain_registeration_length', 'Redirect', 'SSLfinal_State', 'web_traffic', 'URL_of_Anchor']",0.9217877094972067
212,"['having_Sub_Domain', 'Shortining_Service', 'SSLfinal_State', 'age_of_domain', 'URL_of_Anchor']",0.9191146881287726
493,"['SSLfinal_State', 'URL_of_Anchor', 'RightClick', 'web_traffic', 'on_mouseover']",0.9177316293929713
174,"['SSLfinal_State', 'SFH', 'Domain_registeration_length', 'URL_of_Anchor', 'having_IP_Address']",0.9169354838709678
245,"['having_Sub_Domain', 'URL_of_Anchor', 'having_At_Symbol', 'Abnormal_URL', 'SSLfinal_State']",0.9168684422921711
305,"['HTTPS_token', 'URL_of_Anchor', 'double_slash_redirecting', 'SSLfinal_State', 'Submitting_to_email']",0.9130610594419734
379,"['SSLfinal_State', 'URL_of_Anchor', 'port', 'Page_Rank', 'Links_in_tags']",0.912746280659429
273,"['Abnormal_URL', 'URL_of_Anchor', 'Shortining_Service', 'SSLfinal_State', 'Page_Rank']",0.9114331723027376
234,"['DNSRecord', 'URL_of_Anchor', 'on_mouseover', 'web_traffic', 'SSLfinal_State']",0.9113320079522863
301,"['SSLfinal_State', 'age_of_domain', 'Shortining_Service', 'URL_of_Anchor', 'having_At_Symbol']",0.910483870967742
422,"['URL_of_Anchor', 'Google_Index', 'having_At_Symbol', 'SSLfinal_State', 'Redirect']",0.9096774193548387
216,"['Iframe', 'SSLfinal_State', 'Favicon', 'popUpWidnow', 'Redirect']",0.9019138755980861
496,"['Submitting_to_email', 'Redirect', 'SSLfinal_State', 'Iframe', 'double_slash_redirecting']",0.8972629908766363
300,"['SSLfinal_State', 'RightClick', 'popUpWidnow', 'Statistical_report', 'Favicon']",0.8944199116820554
61,"['Links_pointing_to_page', 'Redirect', 'SFH', 'SSLfinal_State', 'web_traffic']",0.8943217665615142
194,"['Iframe', 'Page_Rank', 'RightClick', 'SSLfinal_State', 'having_At_Symbol']",0.8938856015779093
5,"['SSLfinal_State', 'Submitting_to_email', 'on_mouseover', 'having_IP_Address', 'Abnormal_URL']",0.8937178980640064
24,"['SSLfinal_State', 'popUpWidnow', 'port', 'Page_Rank', 'DNSRecord']",0.8936170212765957
338,"['RightClick', 'HTTPS_token', 'having_At_Symbol', 'popUpWidnow', 'SSLfinal_State']",0.8933649289099526
86,"['having_Sub_Domain', 'popUpWidnow', 'Iframe', 'port', 'SSLfinal_State']",0.8931657501963864
2,"['SSLfinal_State', 'double_slash_redirecting', 'age_of_domain', 'having_At_Symbol', 'popUpWidnow']",0.8930122384524279
55,"['SSLfinal_State', 'Shortining_Service', 'port', 'having_IP_Address', 'Redirect']",0.8930122384524279
147,"['double_slash_redirecting', 'having_IP_Address', 'URL_Length', 'SSLfinal_State', 'SFH']",0.8923076923076924
484,"['Request_URL', 'Shortining_Service', 'HTTPS_token', 'SSLfinal_State', 'having_IP_Address']",0.8912529550827423
17,"['DNSRecord', 'Favicon', 'Shortining_Service', 'Google_Index', 'SSLfinal_State']",0.891175306687772
66,"['port', 'web_traffic', 'Google_Index', 'having_At_Symbol', 'SSLfinal_State']",0.8909163030543436
59,"['Submitting_to_email', 'SSLfinal_State', 'Domain_registeration_length', 'popUpWidnow', 'SFH']",0.8905511811023622
150,"['Iframe', 'Request_URL', 'SFH', 'SSLfinal_State', 'double_slash_redirecting']",0.8905511811023622
146,"['SSLfinal_State', 'popUpWidnow', 'Favicon', 'web_traffic', 'having_Sub_Domain']",0.8903680501174628
7,"['SSLfinal_State', 'Links_in_tags', 'Redirect', 'Domain_registeration_length', 'web_traffic']",0.8902920284135754
165,"['Abnormal_URL', 'Shortining_Service', 'double_slash_redirecting', 'SSLfinal_State', 'Request_URL']",0.8902007083825265
185,"['RightClick', 'URL_Length', 'DNSRecord', 'having_IP_Address', 'SSLfinal_State']",0.8901098901098901
184,"['HTTPS_token', 'SSLfinal_State', 'RightClick', 'Shortining_Service', 'DNSRecord']",0.8898505114083399
321,"['DNSRecord', 'web_traffic', 'SSLfinal_State', 'on_mouseover', 'HTTPS_token']",0.8896713615023474
187,"['SSLfinal_State', 'double_slash_redirecting', 'SFH', 'popUpWidnow', 'having_At_Symbol']",0.8895005898545025
92,"['Links_pointing_to_page', 'Shortining_Service', 'SSLfinal_State', 'HTTPS_token', 'Favicon']",0.8895005898545025
362,"['double_slash_redirecting', 'having_IP_Address', 'HTTPS_token', 'web_traffic', 'SSLfinal_State']",0.8889757623143081
483,"['URL_Length', 'Request_URL', 'Submitting_to_email', 'HTTPS_token', 'SSLfinal_State']",0.8887147335423198
32,"['HTTPS_token', 'SSLfinal_State', 'double_slash_redirecting', 'Submitting_to_email', 'SFH']",0.8884524744697565
233,"['Favicon', 'Shortining_Service', 'SSLfinal_State', 'having_At_Symbol', 'Abnormal_URL']",0.8884524744697565
47,"['Favicon', 'SSLfinal_State', 'URL_Length', 'Links_pointing_to_page', 'Redirect']",0.8883666274970623
471,"['Links_in_tags', 'SSLfinal_State', 'Abnormal_URL', 'Favicon', 'web_traffic']",0.8883666274970623
54,"['Links_pointing_to_page', 'Submitting_to_email', 'Links_in_tags', 'having_At_Symbol', 'SSLfinal_State']",0.8881914476265202
344,"['having_At_Symbol', 'SSLfinal_State', 'Links_pointing_to_page', 'Abnormal_URL', 'double_slash_redirecting']",0.8881036513545347
355,"['URL_Length', 'web_traffic', 'port', 'SSLfinal_State', 'double_slash_redirecting']",0.8879344006247559
492,"['having_At_Symbol', 'DNSRecord', 'Favicon', 'SSLfinal_State', 'URL_Length']",0.8878431372549019
163,"['SSLfinal_State', 'Domain_registeration_length', 'Links_in_tags', 'Shortining_Service', 'Iframe']",0.8874068262063555
56,"['Abnormal_URL', 'SSLfinal_State', 'Redirect', 'having_IP_Address', 'Shortining_Service']",0.8874068262063555
215,"['having_IP_Address', 'Shortining_Service', 'Favicon', 'SSLfinal_State', 'Request_URL']",0.8868954758190327
25,"['DNSRecord', 'URL_Length', 'SSLfinal_State', 'Page_Rank', 'web_traffic']",0.8862042088854248
271,"['having_IP_Address', 'RightClick', 'on_mouseover', 'web_traffic', 'SSLfinal_State']",0.8859166011014948
121,"['Page_Rank', 'web_traffic', 'Google_Index', 'SSLfinal_State', 'having_IP_Address']",0.8856581532416503
110,"['Links_pointing_to_page', 'HTTPS_token', 'having_Sub_Domain', 'popUpWidnow', 'SSLfinal_State']",0.8855140186915887
286,"['port', 'Google_Index', 'having_Sub_Domain', 'Iframe', 'SSLfinal_State']",0.8854538248117321
309,"['Redirect', 'double_slash_redirecting', 'SSLfinal_State', 'Links_in_tags', 'RightClick']",0.8852330591461026
277,"['SFH', 'SSLfinal_State', 'Links_in_tags', 'Abnormal_URL', 'double_slash_redirecting']",0.8849765258215962
205,"['Google_Index', 'SSLfinal_State', 'Page_Rank', 'Statistical_report', 'Shortining_Service']",0.8849487785657998
213,"['SFH', 'Abnormal_URL', 'DNSRecord', 'SSLfinal_State', 'Iframe']",0.8842845973416732
414,"['Abnormal_URL', 'Iframe', 'SSLfinal_State', 'Submitting_to_email', 'Page_Rank']",0.8835216205687573
469,"['HTTPS_token', 'popUpWidnow', 'age_of_domain', 'SSLfinal_State', 'Links_in_tags']",0.882903981264637
390,"['SFH', 'SSLfinal_State', 'Google_Index', 'having_At_Symbol', 'HTTPS_token']",0.8818897637795275
